Run Summary,Total Loads Of Ore:,1489,Station Count,2,Mining Truck Count,100
Truck Efficiency,62,Station Efficiency,86
,Mining Truck,,,,,,Unloading Station
Slice Count,MINING,TRAVELING_TO_STATION,IDLE,UNLOADING,TRAVELING_TO_MINE,BUSY,IDLE
0,100,0,0,0,0,0,2
1,100,0,0,0,0,0,2
2,100,0,0,0,0,0,2
3,100,0,0,0,0,0,2
4,100,0,0,0,0,0,2
5,100,0,0,0,0,0,2
6,100,0,0,0,0,0,2
7,100,0,0,0,0,0,2
8,100,0,0,0,0,0,2
9,100,0,0,0,0,0,2
10,100,0,0,0,0,0,2
11,100,0,0,0,0,0,2
12,77,23,0,0,0,0,2
13,77,23,0,0,0,0,2
14,77,23,0,0,0,0,2
15,77,23,0,0,0,0,2
16,77,23,0,0,0,0,2
17,77,23,0,0,0,0,2
18,77,23,0,0,0,0,2
19,77,0,21,2,0,2,0
20,77,0,21,2,0,0,2
21,77,0,19,2,2,2,0
22,77,0,19,2,2,0,2
23,77,0,17,2,4,2,0
24,58,19,17,2,4,0,2
25,58,19,15,2,6,2,0
26,58,19,15,2,6,0,2
27,58,19,13,2,8,2,0
28,60,19,13,2,6,0,2
29,60,19,11,2,8,2,0
30,62,19,11,2,6,0,2
31,62,0,28,2,8,2,0
32,64,0,28,2,6,0,2
33,64,0,26,2,8,2,0
34,66,0,26,2,6,0,2
35,66,0,24,2,8,2,0
36,52,16,24,2,6,0,2
37,52,16,22,2,8,2,0
38,54,16,22,2,6,0,2
39,54,16,20,2,8,2,0
40,56,16,20,2,6,0,2
41,56,16,18,2,8,2,0
42,58,16,18,2,6,0,2
43,58,0,32,2,8,2,0
44,60,0,32,2,6,0,2
45,59,1,30,2,8,2,0
46,61,1,30,2,6,0,2
47,61,1,28,2,8,2,0
48,41,23,28,2,6,0,2
49,41,23,26,2,8,2,0
50,43,23,26,2,6,0,2
51,43,23,24,2,8,2,0
52,45,22,24,3,6,1,1
53,43,24,22,3,8,2,0
54,45,24,22,2,7,0,2
55,44,3,42,2,9,2,0
56,46,3,42,2,7,0,2
